Model,Mean IoU,Pixel Accuracy,Mean Pixel Accuracy,Frequency Weighted IoU,Mean Dice,mAP@50,mAP@75,Training IoU,Training Time (min),Test Time (sec),Weighted Score
MASKDINO,0.15940877398323455,0.4423117295444995,0.3719327809827806,0.4125674672759902,0.2225949756572139,0.18571497561610867,0.14857198049288695,0.7221595829045588,68.6561098655065,146.6032633781433,0.27791360074114374
SCTNET,0.15658508766010373,0.44070017347375307,0.3702477590405128,0.40589126670486597,0.2198561636868681,0.18243060164063002,0.145944481312504,0.7015204464530794,54.603434360027315,153.38310551643372,0.27511353937352506
SEGFORMER,0.15356500943222348,0.43843574417165615,0.3700871032015597,0.3975572812820502,0.2178694603288536,0.17930373723740123,0.14344298978992098,0.6662133269567155,96.64773375988007,181.74920320510864,0.2724326622117348
