Model,Mean IoU,Pixel Accuracy,Mean Pixel Accuracy,Frequency Weighted IoU,Mean Dice,mAP@50,mAP@75,Training IoU,Training Time (min),Test Time (sec),Weighted Score
MASKDINO,0.3917177296314778,-0.7368993762886955,0.35792952636023206,-0.8150871043757693,-1.9003310528250303,0.035763545448132296,0.028610836358505837,,0.0,835.0763838291168,-0.43967014885332323
SEGFORMER,0.3712879481677864,-0.7020050820892995,0.3333333333333333,-0.7819380795968832,-1.5705079514133813,0.0,0.0,,0.0,2404.247763156891,-0.3751196893191131
SCTNET,0.37406567145942454,-0.706006045097785,0.33408852388573534,-0.7861582970310311,-1.6017039574735232,0.01244215697678998,0.009953725581431984,,0.0,873.7084138393402,-0.3803615602697969
