Model,Mean IoU,Pixel Accuracy,Mean Pixel Accuracy,Frequency Weighted IoU,Mean Dice,mAP@50,mAP@75,Training IoU,Training Time (min),Test Time (sec),Weighted Score
MASKDINO,0.1326137013644692,0.48155739744611764,0.20486711580792671,0.3799646608492193,0.196376486008717,0.20238429741311376,0.161907437930491,,0.0,192.29332304000854,0.24444722860300339
SEGFORMER,0.057788341937630563,0.16708069050739102,0.12582378763026672,0.12775798124666018,0.10233240569720067,0.19895425294879396,0.15916340235903517,,0.0,225.62458205223083,0.1194091001982522
SCTNET,0.14815776907691985,0.7035083197170078,0.19811909528295807,0.5250477423637084,0.1791299443436885,0.18983362181675145,0.15186689745340118,,0.0,205.64878010749817,0.29140538656110343
